START_OF_15MIN_EET,RES_LIMIT,AVAILABLE_GENERATION
01-06-24 12:30,1450,912
01-06-24 12:45,838,805
01-06-24 13:00,690,725
01-06-24 13:15,600,563
01-06-24 13:30,600,582
01-06-24 13:45,600,593
01-06-24 14:00,521,538
01-06-24 14:15,400,398
01-06-24 14:30,513,462
01-06-24 14:45,727,535
01-06-24 15:00,1000,880
01-06-24 15:15,4205,910
01-06-24 15:30,900,873
01-06-24 15:45,900,883
01-06-24 16:00,900,823
01-06-24 16:15,900,858
01-06-24 16:30,7723,874
02-06-24 9:45,433,366
02-06-24 10:00,350,350
02-06-24 10:15,350,319
02-06-24 10:30,272,320
02-06-24 10:45,200,265
02-06-24 11:00,200,220
02-06-24 11:15,200,295
02-06-24 11:30,200,166
02-06-24 11:45,200,234
02-06-24 12:00,200,204
02-06-24 12:15,103,229
02-06-24 12:30,100,186
02-06-24 12:45,100,108
02-06-24 13:00,100,159
02-06-24 13:15,100,179
02-06-24 13:30,100,210
02-06-24 13:45,100,215
02-06-24 14:00,100,212
02-06-24 14:15,100,269
02-06-24 14:30,100,267
02-06-24 14:45,100,189
02-06-24 15:00,100,243
02-06-24 15:15,100,257
02-06-24 15:30,100,206
02-06-24 15:45,100,105
02-06-24 16:00,158,242
02-06-24 16:15,353,250
02-06-24 16:30,400,371
02-06-24 16:45,427,399
02-06-24 17:00,7583,529
08-06-24 10:15,8008,1218
08-06-24 10:30,1100,1235
08-06-24 10:45,980,1007
08-06-24 11:00,768,810
08-06-24 11:15,800,802
08-06-24 11:30,800,785
08-06-24 11:45,800,800
08-06-24 12:00,800,798
08-06-24 12:15,800,793
08-06-24 12:30,800,812
08-06-24 12:45,931,890
08-06-24 13:00,1100,1054
08-06-24 13:15,1100,1103
08-06-24 13:30,1148,1095
08-06-24 13:45,1200,1184
08-06-24 14:00,1200,1200
08-06-24 14:15,1200,1130
08-06-24 14:30,1200,1221
08-06-24 14:45,1200,1184
08-06-24 15:00,1200,1174
08-06-24 15:15,1200,1118
08-06-24 15:30,1304,1217
08-06-24 15:45,2875,1495
09-06-24 9:30,6481,480
09-06-24 9:45,882,947
09-06-24 10:00,600,632
09-06-24 10:15,600,598
09-06-24 10:30,600,609
09-06-24 10:45,438,514
09-06-24 11:00,400,361
09-06-24 11:15,400,437
09-06-24 11:30,400,329
09-06-24 11:45,400,488
09-06-24 12:00,400,310
09-06-24 12:15,400,468
09-06-24 12:30,400,406
09-06-24 12:45,400,382
09-06-24 13:00,400,335
09-06-24 13:15,400,386
09-06-24 13:30,400,394
09-06-24 13:45,400,451
09-06-24 14:00,400,372
09-06-24 14:15,415,432
09-06-24 14:30,500,461
09-06-24 14:45,573,530
09-06-24 15:00,734,670
09-06-24 15:15,800,797
09-06-24 15:30,913,861
09-06-24 15:45,1000,987
09-06-24 16:00,1004,913
09-06-24 16:15,1210,1125
09-06-24 16:30,2235,1230
09-06-24 16:45,6140,1235
15-06-24 14:45,5803,708
15-06-24 15:00,1100,1031
15-06-24 15:15,1100,1015
15-06-24 15:30,1100,1042
15-06-24 15:45,1100,933
15-06-24 16:00,1100,1050
15-06-24 16:15,8889,1150
16-06-24 10:15,7403,205
16-06-24 10:30,750,739
16-06-24 10:45,750,745
16-06-24 11:00,750,710
16-06-24 11:15,750,754
16-06-24 11:30,750,731
16-06-24 11:45,750,764
16-06-24 12:00,680,725
16-06-24 12:15,550,566
16-06-24 12:30,550,549
16-06-24 12:45,550,560
16-06-24 13:00,550,546
16-06-24 13:15,615,581
16-06-24 13:30,750,726
16-06-24 13:45,641,695
16-06-24 14:00,550,579
16-06-24 14:15,506,531
16-06-24 14:30,350,371
16-06-24 14:45,350,393
16-06-24 15:00,350,395
16-06-24 15:15,350,320
16-06-24 15:30,350,317
16-06-24 15:45,350,386
16-06-24 16:00,418,395
16-06-24 16:15,727,617
16-06-24 16:30,1675,741
23-06-24 10:30,5033,1064
23-06-24 10:45,1712,1700
23-06-24 11:00,1600,1608
23-06-24 11:15,1600,1587
23-06-24 11:30,1600,1598
23-06-24 11:45,1600,1596
23-06-24 12:00,1600,1592
23-06-24 12:15,1600,1586
23-06-24 12:30,1600,1593
23-06-24 12:45,1600,1596
23-06-24 13:00,1600,1587
23-06-24 13:15,1600,1590
23-06-24 13:30,1600,1584
23-06-24 13:45,1600,1624
23-06-24 14:00,1600,1587
23-06-24 14:15,1623,1572
23-06-24 14:30,1834,1597
23-06-24 14:45,7828,1569
29-06-24 11:00,4937,2153
29-06-24 11:15,2800,2826
29-06-24 11:30,2800,2772
29-06-24 11:45,2800,2757
29-06-24 12:00,2800,2757
29-06-24 12:15,2800,2754
29-06-24 12:30,2800,2780
29-06-24 12:45,2800,2794
